erc20_token,erc20_from,erc20_to,erc20_value,erc20_tx_hash,erc20_log_index,erc20_block_number
0x02509c89a9995d60b232da2c5d5253ac8a4f4184,0xbf55ad9d784bacbc9db25769313ce3ad6fcbcf46,0x5d9d6ac554752493321d100a67919d0efdb049b2,300,0x82e4f8e7dac90d25874af2a06851cc1e37bf204ddde837a562f83ca0901c4ccb,0,823750
0xa62d33e7cf4a3516ba8ebe02e087d08d15fa997e,0xd34b5946937c7ac213d3c059eb81cc4588e8ffb8,0xbf55ad9d784bacbc9db25769313ce3ad6fcbcf46,50000000,0xeaa7bf9455b7697383c51c96e03cd689a6cd02489009771e6c1e3a073e6d9f91,0,823769
0x02509c89a9995d60b232da2c5d5253ac8a4f4184,0x5d9d6ac554752493321d100a67919d0efdb049b2,0xd34b5946937c7ac213d3c059eb81cc4588e8ffb8,300,0xaa9dafcf4cabb7a1564d1cdcee8e3ce63146f7dbeec4f59a4642926db1626d33,11,823795
0xf40f6093d0bc6c174ba3bccf1e3d7d6714a7583e,0x051869639e95edd08c7090e1d5014874e4f0fc28,0x0000000000000000000000000000000000000000,0,0x8ad8bdd7dbddd174bb88637376210b3729469b34c14c054559cd795c247cadaf,8,837587
0x94f27b5141e17dd8816242d752c7be8e6764bd22,0x418b9f2cf2d3789303237f3bce6be767a3c75364,0xd7bf4d5b179d3a08fa7b5d9eab6b9f0789a903d8,5000000000000,0x03bbc1fdc5ecf2f5cee3c210c2a4a7ed91c74db2c872a95f8f0eb14a1431f643,2,843837
0x18e9398595a9ee1190ed9fc0a1afc3c911010d7a,0x820c3a3ec18f46f9b2df32035a4b0a474db3452c,0x7801d240545512453de8ccb43a82cf42db2ef972,10,0x6bbf9579f82ff4e878af4d8a95cb39d00cb6d7f3f763250690aa312929e1cbc8,0,848778
0x070e22e71da64b423c83a4e7d188bb752c369e17,0xde9103a26ae9fc850bac385b3e638b32c8923730,0xdb495f164aabea3471503db6c6963c405da38bc2,50000,0xfbdf1d76e5076ece48bea9fdc8f61f01ca18d9f9988facd71887981ab6a6f50a,4,849244
0x070e22e71da64b423c83a4e7d188bb752c369e17,0xdb495f164aabea3471503db6c6963c405da38bc2,0x1811dc50007a1f4561f6e731c4bc11ffa0aff177,10000,0x6eee9939bc94ae08f2fd704861698ffd35c9062ad86daf06a7357a3b1dfac146,1,849253
0xeebafcdc08cc06c0322eb01b811527fdfb08c5ba,0xa2a4710d4e0f76f500582eebee7ebfe0ea57a1e4,0x244c58552c7d484a423a8a98cc463b7769f96d93,500000,0x99d78afd6cce899d09034473b843887dc3ed53130714cfbed19b5daf514733c6,0,854236
0x1130547436810db920fa73681c946fea15e9b758,0xe1237d552429cc333ffd3038fc3ba3441d0b7dde,0x7517ecb2d735395f407513cff2a9f039eede28e3,100000000000,0x06161b771b3742d446aecfd2464018d2bdd00a14bfc26629e27e4506348d5416,0,853207
0x1130547436810db920fa73681c946fea15e9b758,0xe1237d552429cc333ffd3038fc3ba3441d0b7dde,0x216aba52d520e80fa3450fbd1d6192824f960b87,500000000000,0x2cfde585b4a3c6b9392ee9219d061e1f4cfc29ce21e4116d843609e764301cde,0,852904
0xeebafcdc08cc06c0322eb01b811527fdfb08c5ba,0x244c58552c7d484a423a8a98cc463b7769f96d93,0xa2a4710d4e0f76f500582eebee7ebfe0ea57a1e4,42,0x1c998325c4a78a0142abf3314d8fdfa1e72aff9b060d7b9ca3cc0b4b45f7316a,0,854376
0xd04fa77db62e9f18130db565fb5857b66bc5e0bb,0x216aba52d520e80fa3450fbd1d6192824f960b87,0x7801d240545512453de8ccb43a82cf42db2ef972,1000,0x2de8166e697fd164760eb0aaa07af47d64702cd17aa089174a007066fe6e7e13,0,853124
0x18e9398595a9ee1190ed9fc0a1afc3c911010d7a,0x216aba52d520e80fa3450fbd1d6192824f960b87,0x7517ecb2d735395f407513cff2a9f039eede28e3,1,0xdab62afbe97c64f9e21a8a16e6d523a2191b53066cec7023e1ae5055bf63154d,4,852830
0x1130547436810db920fa73681c946fea15e9b758,0xe1237d552429cc333ffd3038fc3ba3441d0b7dde,0x7517ecb2d735395f407513cff2a9f039eede28e3,100000000000,0x5bc8d619e0289d3c431b01aea6528773c0ce38234978d91dce68bfc1a091922c,1,852846
0x1130547436810db920fa73681c946fea15e9b758,0xe1237d552429cc333ffd3038fc3ba3441d0b7dde,0x7517ecb2d735395f407513cff2a9f039eede28e3,100000000000,0x6ba8e16deb116ca6ac9af67c93220593886a399155b608bf4f28f37f7305e50e,4,852854
0xd917e598a6931d8d393911f2c825d8c50c6a446b,0x02f58e91c11dc367d80837e82385c26f0ec6b687,0xd917e598a6931d8d393911f2c825d8c50c6a446b,1000,0xbb14b3e3ab1e02d99ce1fd62054770f7b028c8dd1bfcc942bbc86ee3878123fa,0,860916
0x36fa1ac86209cfa7b9c46764ff7f03bf8e80907a,0x6d8ee00d5153eea3ce5001ed1e48434a5d64772a,0x299a358e3c4c4d6632c50d0c17873f6dc8d41e1a,25000,0xb71a46a0f1411b7b451d866eeedc8ee72717e720511ccc4d1fedac55aeff6574,4,860943
0xcb599a6f65d826f7a96ebe884a599f17fffc989b,0x4df5698b1b0195fc44fe1d2d6037ce33f215c740,0x299d83de632906b1f532e745c0b458b918b9cec2,10,0xc2b71c637b4724a75d43ad148c1dcc03c426d080657746ecf1b7d8fb627c75ca,0,865316
0xf4a5fbd6deb3c10320b455cb10f10929e7c72ab6,0xc0a69917474c39bd7d816ff491991f258af114b6,0x9b1c99865b18bdacc1927632742bca858d2f8919,3330,0x952e4a1912002e788106a688e4669f53d6bd72c0844669f6f17e28da176e078d,4,869226
0xf4a5fbd6deb3c10320b455cb10f10929e7c72ab6,0xc0a69917474c39bd7d816ff491991f258af114b6,0xb6a3c770fbc0f5e0f780a703d8fd67f5f782f4dd,3330,0x654d4a7b6fe450a438bbde97b77c77518ca3a3cdd7942ed3474fa37c9c2812a9,0,869247
0xcb599a6f65d826f7a96ebe884a599f17fffc989b,0x4df5698b1b0195fc44fe1d2d6037ce33f215c740,0x448ef18c73af8798b695e50cee6b13506ff9d05a,10,0x9d3bfde54a0900bb1ab6c826af20771e39c16acb54fd30900449191ea7b9ac77,1,871317
0x2df8f1448e50fc36969048beea636d5a7cc71c64,0xd9278954d1b60ee7844d8e9630dd4234afbebe5a,0x66605d1bf87692b8f0119f8600a946850f176023,1000000000,0xc4c154f0b767121e40073c3e9e44899b74b389bbe2c5af90fd9e979f202d61e1,0,874651
0xa9d4e6da9e2c780ccb01061a7736a162d7b02d6c,0x98dfe85fda90bfe0ca5e1d9124417d371ed1d9cb,0x8bb8acbc5da60b80ce168983e7d38e918443ed08,500,0xd3a54f80a39e40a63021b6db2e5c736236911a693511243ed6c1aa8118fab121,0,877312
0x9b743992d6a615f686647480b1c1c0c7c024cdf3,0x98dfe85fda90bfe0ca5e1d9124417d371ed1d9cb,0x8bb8acbc5da60b80ce168983e7d38e918443ed08,300,0xe668f6316a043a917f1f1b94d9bda3c3fdc9e4b24b5701df234f4aa1e0d14f5f,8,877315
0xa9d4e6da9e2c780ccb01061a7736a162d7b02d6c,0x8bb8acbc5da60b80ce168983e7d38e918443ed08,0xb458b4010ca081da7bda353dfc9fca7a94c7803b,50,0x1d5cb2246d72075370646ca3ec9976a7f811e3685b83413498fd363cd062c274,0,877604
0xcfc00378ca44da2a0c465367f1f104a9d9e7a83c,0x2ae0bec17958da239437cebf32363af38852cd0b,0x44b003fad7466c8c5080aac16dbef64ea28268c5,10000,0xd9f59f32625b73cedc9b69df24a312005a35fb170d0fabf7ea5b42017a765ec8,1,884504
0xcfc00378ca44da2a0c465367f1f104a9d9e7a83c,0x9b9c396d365a89f1615d77058d36ae4ad4fbf9e8,0x2ae0bec17958da239437cebf32363af38852cd0b,100,0x5e209342a4c87a8313721bfed1a7bcf532b8dfd0dc16daea405183f3534a3ba0,0,884458
0xcfc00378ca44da2a0c465367f1f104a9d9e7a83c,0x9b9c396d365a89f1615d77058d36ae4ad4fbf9e8,0x2ae0bec17958da239437cebf32363af38852cd0b,999900,0x22005a7249493c9f28a251b0e64b4bfbf490068fdf6bef5f7b695d31740f313d,0,884492
0xcfc00378ca44da2a0c465367f1f104a9d9e7a83c,0x2ae0bec17958da239437cebf32363af38852cd0b,0x9b9c396d365a89f1615d77058d36ae4ad4fbf9e8,110000,0xa966ecefad4b8f603ec0df2dffa9067854fcb100ccd15ed1b0204ae3416c6a24,7,886772
0xcfc00378ca44da2a0c465367f1f104a9d9e7a83c,0x2ae0bec17958da239437cebf32363af38852cd0b,0x44b003fad7466c8c5080aac16dbef64ea28268c5,480000,0x580031030a7329b770f5bf8955017af266d2987b205a2021e57f4c6fb01dcec9,1,886253
0xb31142ca6b76d8c8a725d32bd2b6088754e5b30e,0x9b9c396d365a89f1615d77058d36ae4ad4fbf9e8,0x2ae0bec17958da239437cebf32363af38852cd0b,1,0x96cc6aca7cd45537a625914511e7a75988b5a8b02869606ba7e3012cddc90a13,0,887244
0xb31142ca6b76d8c8a725d32bd2b6088754e5b30e,0x2ae0bec17958da239437cebf32363af38852cd0b,0x25211388e95e6efb7e3bbbc0b59bb1df1e0c5a4d,1,0x1531cbf6873fed0fb2bbfd60a473d10a8a99229982031e39fab94e4b3ec52734,1,887252
0x56a46edc89a0f0e04687cef43229afb43560745c,0xfc274abf2a40fd0eefe2c1c6d191f68b283ac91b,0xc3fca37d2c094140bada90cbe4b0c8b2fb25dedb,100,0xe8e0cfa48d7c6cef2662891da9fd9422f81e04a498b1e4647c433452cdc81370,0,890771
0xcb10bb1d302812c9d9d43d4674dbae93cb33cd2e,0xc3fca37d2c094140bada90cbe4b0c8b2fb25dedb,0xfc274abf2a40fd0eefe2c1c6d191f68b283ac91b,1000,0x1611e07e5c63c02a7894a02bea8d849d215e7cefc167e02b880d9d0efbef128b,0,890772
0xcb10bb1d302812c9d9d43d4674dbae93cb33cd2e,0xc3fca37d2c094140bada90cbe4b0c8b2fb25dedb,0xfc274abf2a40fd0eefe2c1c6d191f68b283ac91b,2000,0x80c6b9fc1c5f3fe38c192bae1de50cc5b329f363179aff1ec5da7d517252e342,0,890801
0x0e7db7c15dec9194c7bd2d848d99651c8a1cdfcf,0xc70a2dc560ee30b7b76d6d2a65b8830482be62fd,0xa61596f50cfcd26137e389cd817ae94724aa2a24,3000,0x97b44e711a9c4c0c1cc1c12e70944e13553093b14a7c63f7521858b9285c2024,0,891599
0x6416ea38216f6553f3353ac184b00bf6b1b3eb66,0x0f0b3a222e5d62aefca9e9a4cd0e160d87ebd87c,0x7d7455841487f2e81d404751c97045b622f7a9a0,50,0x164da515dbf1057bf7d3ed24a6f760b1a81f4ba1954483779382bd2fc145fcc8,0,896642
0x0d5781131e377e20b7b8ee5f0231ff8f91b4beb1,0xfc274abf2a40fd0eefe2c1c6d191f68b283ac91b,0xc3fca37d2c094140bada90cbe4b0c8b2fb25dedb,10,0x9d482fad49d018d7f29d97acf7fef9d3a27c4bd1dea2e920179f1568d88fc816,0,895699
0xefd98ff04917ec82822eb5c9576305253bad1a7e,0xea3bdf18219227ab1bce7cf6b7fc366bdc2c59a8,0xb0eee1bf305686ecfdaf5ffac67fd7bdaf514d51,500,0x779114a388a682f8612302dcf46105b485b917ddde371c93c947abedba2e2ec5,0,895413
0xefd98ff04917ec82822eb5c9576305253bad1a7e,0xb0eee1bf305686ecfdaf5ffac67fd7bdaf514d51,0xea3bdf18219227ab1bce7cf6b7fc366bdc2c59a8,100,0x2afd73caddb0ac94e13f69315a5892ee1782a6ec4a7dc5ec180ce14290d76e07,0,895443
0x8cb66fa82b4faf5b71d8d6c3ba43a775ab43f76b,0xabfb7b27cdad525f1657c0ae8a8ae3afa37c110a,0xb3ec08895591b4e639ad27dee8e9d6bbeceed226,10000000000000,0x42491b122a516b02d5f15731619adde9c3e8213aafc1770ccf110d6f9ed18d21,0,899429
